Number_old,Number,Topic,SpeechAct,Flavor,Audio_Intro,Audio_Continuation,Audio_AnswerM,Audio_AnswerF,Intro,SAPrompt_part1,SAPrompt_part2,Target,QPara,APara,RPara,Answer,Answer_01,Comp_Q,Comp_Ans0,Comp_Ans1
2_2,1_2,cake,question,deontic,cake_intro.mp3,cake_conti_Q.mp3,cake_answer_Q_male.mp3,cake_answer_Q_female.mp3,Vous êtes avec Jordan chez un ami qui a préparé une tarte aux poireaux.,Vous vous demandez si Jordan a le droit de prendre une part,parce que vous savez qu'il est diabétique,Tu peux prendre de la tarte ?,Est-ce que tu as la capacité/autorisation/droit de prendre de la tarte ?,Je t'informe que tu as le capacité/autorisation/droit de prendre de la tarte.,"Prends de la tarte, s'il te plaît !","Oui, j'ai le droit tant qu'elle n'est pas trop sucrée.",O,Jordan est-il autorisé à prendre de la tarte ?,non,oui
13_2,2_2,car,question,deontic,car_intro.mp3,car_conti_Q.mp3,car_answer_Q_male.mp3,car_answer_Q_female.mp3,Vous arrivez à votre voiture avec votre ami Jordan.,Vous vous demandez si Jordan a le droit de conduire,parce que vous ne savez pas s'il a le permis,Tu peux conduire ?,Est-ce que tu as la capacité/autorisation/droit de conduire ?,Je t'informe que tu as le capacité/autorisation/droit de conduire.,"Conduis, s'il te plaît !","Non, toujours pas, ça fait trois fois que je rate le permis.",N,Jordan a-t-il raté son permis ?,non,oui
9_2,3_2,cleanplate,question,ability_w,cleanplate_intro.mp3,cleanplate_conti_Q.mp3,cleanplate_answer_Q_male.mp3,cleanplate_answer_Q_female.mp3,"Vous êtes chez vous avec Jordan, votre colocataire.",Vous vous demandez si Jordan aura le temps de laver son assiette,avant de partir en cours,Tu peux laver ton assiette ?,Est-ce que tu as la capacité/autorisation/droit de laver ton assiette ?,Je t'informe que tu as le capacité/autorisation/droit de laver ton assiette.,"Lave ton assiette, s'il te plaît !","Oui, mon cours ne commence que dans deux heures.",O,Jordan va-t-il avoir le temps de laver son assiette ?,non,oui
8_2,4_2,dog,question,deontic,dog_intro.mp3,dog_conti_Q.mp3,dog_answer_Q_male.mp3,dog_answer_Q_female.mp3,Vous avez prévu d'aller au musée avec votre ami Jordan.,Vous vous demandez si Jordan a le droit d'emmener son chien,parce que vous ne savez pas si le musée les autorise,Tu peux emmener ton chien ?,Est-ce que tu as la capacité/autorisation/droit d'emmener ton chien ?,Je t'informe que tu as le capacité/autorisation/droit d'emmener ton chien.,"Emmène ton chine, s'il te plaît !","Je ne pense pas, en général c’est interdit.",N,Jordan a-t-il le droit d'emmener son chien au musée ?,probablement,probablement pas
7_2,5_2,email,question,deontic,email_intro.mp3,email_conti_Q.mp3,email_answer_Q_male.mp3,email_answer_Q_female.mp3,Vous aidez votre frère Jordan à faire un devoir-maison.,Vous vous demandez si Jordan a le droit d'envoyer un mail à son prof,pour avoir de l'aide,Tu peux envoyer un mail à ton prof ?,Est-ce que tu as la capacité/autorisation/droit d'envoyer un mail à ton prof ?,Je t'informe que tu as le capacité/autorisation/droit d'envoyer un mail à ton prof.,"Envoie un mail à ton prof, s'il te plaît !","Non, il nous a dit de nous débrouiller tous seuls.",N,Jordan a-t-il le droit d'envoyer un mail à son prof ?,oui,non
1_2,6_2,guitar,question,ability_i,guitar_intro.mp3,guitar_conti_Q.mp3,guitar_answer_Q_male.mp3,guitar_answer_Q_female.mp3,"Vous êtes chez vous avec votre ami Jordan, qui a une guitare.",Vous vous demandez si Jordan sait jouer de la guitare,parce que vous pensiez qu'il ne jouait pas d'instrument,Tu peux jouer de la guitare ?,Est-ce que tu as la capacité/autorisation/droit de jouer de la guitare ?,Je t'informe que tu as le capacité/autorisation/droit de jouer de la guitare.,"Joue de la guitare, s'il te plaît !","Oui, j’ai pris des cours pendant 6 ans quand j'étais petit.",O,Combien d'années de cours de guitare Jordan a-t-il pris ?,2 ans,6 ans
15_2,7_2,light,question,ability_w,light_intro.mp3,light_conti_Q.mp3,light_answer_Q_male.mp3,light_answer_Q_female.mp3,Vous êtes chez vous avec votre ami Jordan.,Vous vous demandez si l'électricité fonctionne,parce que la télé s'est soudainement éteinte,Tu peux allumer la lumière ?,Est-ce que tu as la capacité/autorisation/droit d'allumer la lumière ?,Je t'informe que tu as le capacité/autorisation/droit d'allumer la lumière.,"Allume la lumière, s'il te plaît !","Non, il n'y a plus d'électricité.",N,L'électricité marche-t-elle ?,oui,non
3_2,8_2,readsentence,question,ability_i,readsentence_intro.mp3,readsentence_conti_Q.mp3,readsentence_answer_Q_male.mp3,readsentence_answer_Q_female.mp3,"Vous êtes en cours avec Jordan, et il y a une phrase écrite au tableau.",Vous vous demandez si Jordan est capable de lire la phrase,parce que vous voyez qu'il a oublié ses lunettes,Tu peux lire la phrase ?,Est-ce que tu as la capacité/autorisation/droit de lire la phrase ?,Je t'informe que tu as le capacité/autorisation/droit de lire la phrase.,"Lis la phrase, s'il te plaît !","Oui, de loin j'arrive à lire sans lunettes.",O,Dans quel cas Jordan a-t-il besoin de lunettes ?,pour lire de près,pour lire de loin
4_2,9_2,speaklouder,question,ability_i,speaklouder_intro.mp3,speaklouder_conti_Q.mp3,speaklouder_answer_Q_male.mp3,speaklouder_answer_Q_female.mp3,"Vous êtes avec Jordan dans un café, et il y a du monde à côté. ",Vous vous demandez si Jordan est capable de parler plus fort,"car hier, il avait une extinction de voix",Tu peux parler plus fort ?,Est-ce que tu as la capacité/autorisation/droit de parler plus fort ?,Je t'informe que tu as le capacité/autorisation/droit de parler plus fort.,"Parle plus fort, s'il te plaît !","Oui, j'ai beaucoup moins mal à la gorge depuis ce matin.",O,Jordan a-t-il encore une extinction de voix ?,oui,non
12_2,10_2,train,question,ability_w,train_intro.mp3,train_conti_Q.mp3,train_answer_Q_male.mp3,train_answer_Q_female.mp3,Vous organisez un voyage avec votre ami Jordan.,Vous vous demandez s'il est possible de commander les billets de train,parce que vous ne savez pas si les réservations sont déjà ouvertes,Tu peux commander les billets ?,Est-ce que tu as la capacité/autorisation/droit de commander les billets ?,Je t'informe que tu as le capacité/autorisation/droit de commander les billets,"Commande les billets, s'il te plaît !","Non, les réservations sont pas encore ouvertes.",N,Est-il déjà possible de commander les billets ?,oui,non
